l,PCA_dim,strict_mean,strict_std,loose_mean,loose_std
20,-1,0.021096986997942272,0.0042989994009045495,0.3500057343492734,0.015247451885506202
40,-1,0.02142397630329004,0.004515278440931354,0.41459836807345096,0.008747163997034367
60,-1,0.01979872477919153,0.002930117472622477,0.4538370431346211,0.008479432942288945
81,-1,0.02499116991328101,0.004215491410319686,0.4641191964993145,0.012361860147979513
100,-1,0.03977740607095806,0.00784000416843757,0.5249219630017264,0.009530994241409112
121,-1,0.06632326683333208,0.0074466490228016265,0.5728130352796639,0.011243594485573431
140,-1,0.10913462236807876,0.009987372219935299,0.6660439530489395,0.008309253224424093
160,-1,0.13380393243796848,0.011521209663108005,0.7013850892479052,0.011646239150169645
180,-1,0.16676361285052296,0.011473305225281427,0.7293337946137143,0.008717840184666679
213,-1,0.22348947149241596,0.011600866107094364,0.7520598615212252,0.011907418685582288
220,-1,0.23308560539884343,0.01073013385230771,0.7652573087120037,0.011817728190449253
240,-1,0.25941324958878276,0.013088310575845738,0.7867160074434577,0.00913161472889683
260,-1,0.28400436892299347,0.012740125194698648,0.8042098509228426,0.009717213188566987
280,-1,0.2979305282561866,0.011424277562550211,0.8205455242049755,0.011383061272352564
300,-1,0.3227450456906572,0.00988953654865735,0.8363385079583511,0.007455285369428008
320,-1,0.324723863366656,0.015665648408197633,0.8415005011732685,0.008213267312520658
340,-1,0.3263843239074299,0.013588884341570687,0.8419672145310245,0.009814358608663807
360,-1,0.3349645019211517,0.01724368391234987,0.8485275987592796,0.007284570795000348
380,-1,0.3407348610459896,0.01739211373268559,0.8491420707346591,0.00881248422871235
400,-1,0.3503274508321512,0.016444898689040144,0.8550576067676694,0.007499878204720296
420,-1,0.3592027255028712,0.01766049181945499,0.8593097064375999,0.006410757444605079
440,-1,0.3677857624365787,0.00848201268378607,0.8624136457645053,0.0077309705544030775
460,-1,0.3721900195168849,0.013330747687766938,0.8680726528540806,0.00900228583714198
489,-1,0.41330299343590987,0.014514730015332853,0.8716772976358979,0.010308867957651572
500,-1,0.4149595551519373,0.015398491990342239,0.8722225655980138,0.011037328272070277
